kata_stop
aa
aamiin
ada
adalah
adanya
adapun
aduh
agak
agaknya
agar
ah
ahh
airlangtidak
aja
ajoor
akan
akankah
akhir
akhiri
akhirnya
aku
akulah
akut
ala
alaikum
alih
amat
amatlah
amiin
amin
ammbyarrr
an
anda
andalah
anjay
anjrit
antar
antara
antaranya
anyiiing
apa
apaan
apabila
apakah
apalagi
apanya
apatah
artinya
asal
asalkan
assalamu
assalamualaikum
asu
at
atas
atau
ataukah
ataupun
atuh
awal
awalnya
awkward
aya
ayah
ayo
bac
baek
bagai
bagaikan
bagaimana
bagaimanakah
bagaimanapun
bagi
bagian
bagiku
bah
bahkan
bahwa
bahwasanya
baik
bajilak
bakal
bakalan
bal
balik
bang
banget
bangke
banyak
bapak
baru
bawah
beberapa
begini
beginian
beginikah
beginilah
begitu
begitukah
begitulah
begitupun
bekerja
beku
belakang
belakangan
belum
belumlah
benar
benarkah
benarlah
beneran
ber
berada
berakhir
berakhirlah
berakhirnya
berapa
berapakah
berapalah
berapapun
berarti
berawal
berbagai
berdatangan
beri
berikan
berikut
berikutnya
berjumlah
berkali-kali
berkata
berkehendak
berkeinginan
berkenaan
berlainan
berlalu
berlangsung
berlebihan
bermacam
bermacam-macam
bermaksud
bermula
bersama
bersama-sama
bersiap
bersiap-siap
bertanya
bertanya-tanya
berturut
berturut-turut
bertutur
berujar
berupa
besar
betul
betulkah
biasa
biasanya
bila
bilakah
bisa
bisakah
bismillah
bl
blakan
blok
bnget
boco
bolasport
boleh
bolehkah
bolehlah
booster
breaking
bu
buat
bukan
bukankah
bukanlah
bukannya
bulan
bung
buntel
by
cah
cara
caranya
cebong
ciri
ck
cok
come
cs
cuk
cukup
cukupkah
cukuplah
cuma
cungur
dab
dah
dahlah
dahulu
dalam
dan
dapat
dari
daripada
datang
de
deh
dekat
demau
demi
demikian
demikianlah
dengan
depan
detiksepakbola
dhe
di
dia
diakhiri
diakhirinya
dialah
diantara
diantaranya
diberi
diberikan
diberikannya
dibuat
dibuatnya
didapat
didatangkan
digunakan
diibaratkan
diibaratkannya
diingat
diingatkan
diinginkan
dijawab
dijelaskan
dijelaskannya
dikarenakan
dikatakan
dikatakannya
dikerjakan
diketahui
diketahuinya
dikira
dilakukan
dilalui
dilihat
dimaksud
dimaksudkan
dimaksudkannya
dimaksudnya
dimanaaa
diminta
dimintai
dimisalkan
dimulai
dimulailah
dimulainya
dimungkinkan
dini
dipastikan
diperbuat
diperbuatnya
dipergunakan
diperkirakan
diperlihatkan
diperlukan
diperlukannya
dipersoalkan
dipertanyakan
dipunyai
diri
dirinya
disampaikan
disebut
disebutin
disebutkan
disebutkannya
disini
disinilah
ditambahkan
ditandaskan
ditanya
ditanyai
ditanyakan
ditegaskan
ditujukan
ditunjuk
ditunjuki
ditunjukkan
ditunjukkannya
ditunjuknya
dituturkan
dituturkannya
diucapkan
diucapkannya
diungkapkan
dkk
dll
doang
doank
doi
dong
donk
dot
drop
dua
dulu
e
edisi
ee
eeh
eh
eheheehehe
ehhh
eks
elah
empat
eneg
engan
enggak
enggaknya
entah
entahlah
epa
etes
euy
ever
failrplay
from
gara
garuuuuukkkk
gas
gaspol
gateli
gembor
gimic
gini
gir
gitu
goblokk
gubernurernur
guna
gunakan
ha
hadeh
haha
hahaha
hahahaa
hahahaha
hahahahaha
hahahahahahah
hal
halah
halahh
hampir
hanya
hanyalah
hari
harus
haruslah
harusnya
hati
he
heh
hehe
hehehe
hehehehe
heleh
hello
hendak
hendaklah
hendaknya
hess
hha
hhe
hingga
hmm
hmmm
hohoho
hr
ht
ia
iah
ialah
ibarat
ibaratkan
ibaratnya
ibu
ike
iki
ikut
imo
in
ine
ingat
ingat-ingat
ingin
inginkah
inginkan
ini
inikah
inilah
itu
itukah
itulah
iya
iyaa
iyaak
jadi
jadilah
jadinya
jan
jancok
jangan
jangankan
janganlah
jauh
jawab
jawaban
jawabnya
jelas
jelaskan
jelaslah
jelasnya
jembuten
jen
ji
jika
jikalau
jikaw
jilat
jor
juga
jum
jumlah
jumlahnya
justru
jutidak
ka
kadron
kadrun
kah
kait
kala
kalau
kalaulah
kalaupun
kaleeeee
kali
kalian
kami
kamilah
kampret
kamu
kamuhut
kamulah
kan
kans
kapan
kapankah
kapanpun
karena
karenanya
kasus
kata
katakan
katakanlah
katanya
katidak
ke
keadaan
kebetulan
kecil
kedua
keduanya
keinginan
kek
kelamaan
kelihatan
kelihatannya
kelima
kembali
kemudian
kemungkinan
kemungkinannya
kenapa
kepada
kepadanya
kesampaian
keseluruhan
keseluruhannya
keterlaluan
ketika
khan
khususnya
kini
kinilah
kipa
kira
kira-kira
kiranya
kita
kitalah
klonmasihbada
klw
ko
kocaak
kog
kok
kono
koq
kran
ku
kui
kurang
