kata_slang;kata_baku
dinaplikasi;aplikasi
ngaganggu;ganggu
pinjem;pinjam
kalaumau;kalau mau
terima kasih;terimakasih
saku;saqu
rb;ribu
harus;harus
bngt;banget
pngalaman;pengalaman
apknya;aplikasi nya
tlong;tolong
urus;mengurus
mantul;bagus
tungguin;tunggu
bilng;bilang
tuju;setuju
moga;semoga
cpt;cepat
sblmnya;sebelum
trnyta;ternyata
layan;layanan
bntang;bintang
sayang;kecewa
gunain;guna
bisah;bisa
kasi;kasih
bangt;banget
hbsiin;habis
aplikadi;aplikasi
acc;setuju
mending;sebaiknya
dterima;di terima
kren;keren
smpah;sampah
diupdate;di update
jngan;jangan
apply;setuju
worth;baik
pinalti;finalti
aneh;jelek
cashbacknya;cashback
tf;transfer
belom;belum
seanday;seandainya
seandai;seandainya
penarikan;tarik
lemot;lama
