kata_slang;kata_baku
ft;foto
full;penuh
fulltime;waktu penuh
fun;senang
fyi;asal tahu saja
g0bL0k;bodoh
ga;tidak
gaada;tidak ada
gabisa;tidak bisa
gabut;gaji buta
gada;tidak ada
gaduh;rusuh
gaes;kawan
gaess;kawan
gaisok;tidak bisa
gaje;tidak jelas
gajebo;tidak jelas
gajelas;tidak jelas
gak;tidak
galak;marah
galau;bimbang
gamau;tidak mau
gamblang;jelas
gampang;mudah
gantikn;gantikan
gantino;gantinya
gaperlu;tidak perlu
gapernah;tidak pernah
gara;karena
garing;hambar
garise;garisnya
gatau;tidak tahu
gawe;untuk
gbsa;tidak bisa
gede;besar
gedhen;besar sekali
geger;gempar
geger;ribut
geje;tidak jelas
gek;bukan
gelar;mulai
geloran;gelora
gemar;suka
gembar;berteriak
gembos;kosong
gembosi;jadi gembos
gempar;ramai
gencar;terus
geng;kelompok
gengges;ganggu
gengsi;malu
genjot;paksa
genjot;proses
genks;sahabat
gerakan;gerak
geratis;gratis
germany;jerman
gerombolan;kelompok
geulis;cantik
geunah;berhasil
geus;sudah
gf;pacar
ggl;gagal
giat;rajin
gile;gila
gimana;bagaimana
gimmick;menarik hati
gimna;bagaimana
ginian;ini
gk;tidak
gmn;bagaimana
gmna;bagaimana
gmpng;mudah
go;ikut
goblk;bodoh
goblok;bodoh
gocek;main
gogodeg;bingung
gogon;go internasional
gokil;keren
golden;emas
goleki;nyarikan
golkan;menyukseskan
good;semoga
goreng;bahas
gorengan;bahasan
gpernah;belum pernah
gpp;tidak apa
grammar;tata bahasa
graphic;grafis
greedy;tamak
grgr;gara gara
group;kelompok
gt;gitu
gua;saya
gue;saya
guhe;saya
gulir;mulai
gulirkan;membuka
guoblok;bodoh
guys;kawan
gw;saya
hacep;pesta pora
hai;halo
hallo;halo
hang;yang
hapenya;ponselnya
hater;pembenci
haters;pembenci
hattrick;tiga gol
hdp;hidup
hdr;hadir
head;kepala
hepi;senang
heran;bingung
heselah;sulit
high pressing direct;dengan tekanan tinggi
hit;terpopuler
hits;terkini
hng;hingga
hny;hanya
hnya;hanya
ho;iya
hoak;palsu
hoaks;palsu
hoax;palsu
